Directory,Image Count
"Rivina_humilis",240
"Romulea_rosea",95
"Rumex_acetosella",701
"Rumex_conglomeratus",699
"Rumex_crispus",842
"Sagittaria_graminea",171
"Sagittaria_montevidensis",335
"Sagittaria_platyphylla",477
"Salvia_verbenaca",137
"Salvinia_molesta",472
"Sanguisorba_minor",754
"Schinus_terebinthifolia",827
"Searsia_lancea",648
"Senna_hirsuta",176
"Sida_acuta",179
"Sida_cordifolia",226
"Solanum_americanum",650
"Solanum_chenopodioides",903
"Solanum_elaeagnifolium",907
"Solanum_esuriale",466
"Solanum_nigrum",450
"Solanum_prinophyllum",954
"Solanum_rostratum",1026
"Solanum_sisymbriifolium",863
"Solanum_triflorum",1139
"Soliva_sessilis",733
"Sonchus_arvensis",766
"Sonchus_asper",832
"Sonchus_oleraceus",1045
"Sorbus_aucuparia",507
"Sparaxis_bulbifera",125
"Sparaxis_tricolor",159
"Spartium_junceum",154
"Spathodea_campanulata",630
"Spermacoce_brachystema",245
"Spermacoce_remota",823
"Sphagneticola_trilobata",900
"Stachys_arvensis",760
"Stachytarpheta_cayennensis",683
"Stachytarpheta_jamaicensis",794
"Stapelia_gigantea",581
"Stellaria_media",534
"Stratiotes_aloides",279
"Striga_asiatica",82
"Striga_bilabiata",676
"Striga_elegans",468
"Striga_gesnerioides",636
"Symphyotrichum_subulatum",532
"Syngonium_angustatum",870
"System Volume Information",0
"Tagetes_minuta",805
"Talinum_paniculatum",668
"Tamarix_parviflora",260
"Tanacetum_parthenium",665
"Taraxacum_officinale",676
"Tecoma_stans",706
"Tetragonia_implexicoma",819
"Tetragonia_tetragonoides",748
"Tithonia_diversifolia",235
"Toxicodendron_succedaneum",744
"Trapa_natans",361
"Tribulus_terrestris",548
"Triglochin_scilloides",251
"Triumfetta_rhomboidea",170
"Tropaeolum_majus",582
"Urtica_urens",679
"Vachellia_erioloba",492
"Verbascum_thapsus",435
"Verbascum_virgatum",473
"Verbena_africana",86
"Verbena_bonariensis",466
"Verbena_rigida",421
"Vicia_sativa",82
"Waltheria_indica",146
"Watsonia_meriana",265
"Ziziphus_spina-christi",403
---,---
"TOTAL (297 directories)",132215
